Organisation,Claim,Remarks
Mercy Corps,31400," The emergency supply kits we were able to provide are helping 31,400 people stay warm, safe and healthy during this difficult time. "
Muslim Hands,0,No Claim
Nepal Red Cross,147940," Tarpaulin and family tent distributed by NRCS, 29,588 tarps, 147,940 people reached "
OXFAM,150000," So far Oxfam has reached over 150,000 people in 7 of the worst hit districts of Nepal, providing clean water, emergency shelter and food. "
PAH,15620," Shelter: We distribute materials used to provide shelter (tarpaulins, ropes and blankets) in villages in the Helambu region. We handed over a total of: 3,124 tarpaulins "
People in Need,60000," In the worst devastated areas of Gorkha and Sinpalcuk about 5000 families have been provided with tarpaulins so far. In the following days, other 7000 families will get the materials for provisional shelters. Other 500 families received food packages with rice pulses oil and salt. People will also get blankets and mattresses says Denisa Bultasovíç, the humanitarian aid coordinator of People in Need. "
Plan International,150000," Finally we get to the food and shelter distribution point where Plan is handing over tarpaulins, hygiene kits, cooking oil and heavy 25kg bags of rice to families who wait patiently to collect these precious goods. So far we have reached 150,000 people with our programmes of immediate relief. "
Relief International,0,No Claim
Rotary,0,No Claim
Salvation Army,400," Two trucks have already arrived in the community, carrying food items for 280 families and tarpaulins and rope for 80 families whose homes were completely destroyed. "
Samaritan's Purse,100000," Samaritan's Purse airlift of shelter material for 100,000 Nepal earthquake victims whose homes were destroyed "
Save the Children,127000," Despite the challenges, our teams have reached more than 127,000 people, including 76,000 children, with vital aid. "
Save the Children Australia,205000," With thanks to our supporters, we have already reached 205,000 people through our response, distributing vital items including tarpaulins and hygiene kits, and working to set up mobile health clinics to provide basic primary health care. "
Save the Children UK,37000," Our teams have also reached more than 37,000 people distributing supplies such as tarpaulins, baby packs - which include children's clothes, blankets and soap - to those in need in some of the hardest-hit regions outside Kathmandu Valley, including Gorkha and Sindhupalchowk districts. "
ShelterBox,15000," So far, our teams have been able to provide shelter for more than 15,000 people in Nepal. "
Solidarities International,1500," At the very begging of our mobilisation in the district of Sindhupalchok, our emergency team provided relief, including 300 shelter kits and 1700 hygiene kits, in order to meet these immediate needs. ""Our priority is to provide shelters to these people so they can protect themselves from the monsoon rains and minimise the risk of epidemics."""
UK DFID,165000," Britain has already provided much-needed emergency shelter to more than 65,000 displaced people across Nepal and more shelter kits are being delivered in the coming days, International Development Secretary Justine Greening announced today. On top of the shelter already distributed, DFID will deliver nearly 20,000 more shelters to Nepal in the coming weeks, enough to house over 100,000 people. "
UN HCR,34000," The UN refugee agency has flown in shelter materials for some 34,000 earthquake survivors "
USAID,310000," To date, USAID has delivered 6,200 rolls of plastic sheeting, providing much needed shelter and protection for up to 310,000 Nepalis. Providing shelter support in advance of the monsoon season remains an urgent response priority. "
We World,0,No Claim
Welthungerhilfe,87100," Blankets, tents, food: how the donations have reached 17,420 families so far: Together with our local partner we have been able to distribute 15,500 tarpaulins, 2,000 blankets and 5,500 food kits to families particularly in need. "
World Help,0,"No Claim,  planning 50 houses "
World Vision,30000," World Vision's Nepal Earthquake Emergency Response has reached at least 30,000 people to date - supporting the urgent needs of earthquake-affected families in the hardest-hit areas of Gorkha, Lamjung, Sindhuli, Sindhupalchowk and Kathmandu valley in the aftermath of the 7.8 earthquake on April 25 "
